cible,horizon,famille,modele,n_previsions,rmse_modele,rmse_baseline,gain_rmse_vs_baseline_pct,rmse_relative_modele,rmse_relative_baseline,biais_moyen_modele,derive_systematique,dm_pvalue_hln,statut,verdict
DETTE_PUBLIQUE,1,niveau_ratio,elasticnet,4,4.246362902425523,2.2433234274174554,,0.0612750779570782,0.0323711894288233,3.086693042840043,True,,evalue,baseline non battue (RMSE relative) sur ce bloc
DETTE_PUBLIQUE,2,niveau_ratio,panel_leave_one_country_out,4,6.9190235037528325,4.940394721072401,,0.0998416090007623,0.0712899671150418,0.955497455181229,False,,evalue,baseline non battue (RMSE relative) sur ce bloc
DETTE_PUBLIQUE,3,niveau_ratio,panel_leave_one_country_out,4,9.940801197363127,7.374957626996922,,0.1434459047238546,0.1064207449783105,-0.5252723078142605,False,,evalue,baseline non battue (RMSE relative) sur ce bloc
DETTE_PUBLIQUE,4,niveau_ratio,panel_leave_one_country_out,4,10.286750970222023,8.550292392661207,,0.1484379649382687,0.1233808426069438,0.7695318060158911,False,,evalue,baseline non battue (RMSE relative) sur ce bloc
DETTE_PUBLIQUE,5,niveau_ratio,panel_leave_one_country_out,4,3.6348124139108577,9.106316489118974,,0.0524503955831292,0.1314042783422651,-2.2251379904047788,True,,evalue,RMSE relative < baseline MAIS derive systematique detectee (biais > 0.5*RMSE) : a ne pas retenir tel quel
FBCF,1,niveau_ratio,elasticnet,4,1.1619901710497924,1.0484404370964464,,0.044503969651879,0.0401550396525201,0.986695830700146,True,,evalue,baseline non battue (RMSE relative) sur ce bloc
FBCF,2,niveau_ratio,elasticnet,4,1.3723461029130113,0.7849958274408018,,0.052560555878659,0.0300651686663708,1.2363837321875923,True,,evalue,baseline non battue (RMSE relative) sur ce bloc
FBCF,3,niveau_ratio,panel_avec_effets_fixes,4,0.5681420619583294,1.0185717889796375,,0.0217597168317751,0.039011076956061,0.3200853840589079,True,,evalue,RMSE relative < baseline MAIS derive systematique detectee (biais > 0.5*RMSE) : a ne pas retenir tel quel
FBCF,4,niveau_ratio,elasticnet,4,1.2390409321397675,1.5403958353813836,,0.047454996965737,0.0589968239126838,1.0679427541586417,True,,evalue,RMSE relative < baseline MAIS derive systematique detectee (biais > 0.5*RMSE) : a ne pas retenir tel quel
FBCF,5,niveau_ratio,panel_leave_one_country_out,4,0.8960390947617363,2.0203934471780767,,0.034318101541381,0.0773806275631702,-0.0140345510618953,False,,evalue,"RMSE relative < baseline et pas de derive, DM non significatif ou non calcule"
INFLATION_CPI,1,variation,panel_leave_one_country_out,4,3.2353910647256248,3.690887629316112,12.341111687404222,,,-1.1292934478232586,,,evalue,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
INFLATION_CPI,2,variation,elasticnet,4,3.4715486774825624,4.763919623027292,27.128311302688942,,,-2.1863329556247275,,,evalue,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
INFLATION_CPI,3,variation,panel_leave_one_country_out,4,2.973782423706595,4.174453321029221,28.76235053998873,,,-0.64257830168311,,,evalue,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
INFLATION_CPI,4,variation,panel_leave_one_country_out,4,2.4130115951127182,3.793017672579275,36.38280115178436,,,-0.2615062634217304,,,evalue,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
INFLATION_CPI,5,variation,panel_leave_one_country_out,4,2.576142673855406,3.665302599944413,29.71541629620225,,,-0.1297204859449009,,,evalue,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
SOBG,1,niveau_ratio,panel_avec_effets_fixes,4,0.5163423327739393,0.8605043503644926,,0.1052766556462003,0.1754475944064067,0.195373998146601,False,,evalue,"RMSE relative < baseline et pas de derive, DM non significatif ou non calcule"
SOBG,2,niveau_ratio,elasticnet,4,1.4112288587831392,1.7363432573303874,,0.2877344063693849,0.3540217401961567,1.0058719070196886,True,,evalue,RMSE relative < baseline MAIS derive systematique detectee (biais > 0.5*RMSE) : a ne pas retenir tel quel
SOBG,3,niveau_ratio,panel_avec_effets_fixes,4,2.079718457746889,2.221192730353471,,0.4240322553857368,0.4528773400023423,1.6276823204160962,True,,evalue,RMSE relative < baseline MAIS derive systematique detectee (biais > 0.5*RMSE) : a ne pas retenir tel quel
SOBG,4,niveau_ratio,elasticnet,4,1.835175393935811,2.293082881583889,,0.374172551299113,0.4675349696698124,0.7463816055742005,False,,evalue,"RMSE relative < baseline et pas de derive, DM non significatif ou non calcule"
SOBG,5,niveau_ratio,panel_avec_effets_fixes,4,2.6202633040459182,1.3341264375105308,,0.5342435435817515,0.2720140508250364,2.5084501138340185,True,,evalue,baseline non battue (RMSE relative) sur ce bloc
TACH,1,variation,panel_avec_effets_fixes,4,0.804538120099621,0.7092647601566002,-13.43269330369454,,,0.5011744567767313,,,evalue,baseline non battue au seuil de 10% sur ce bloc
TACH,2,variation,panel_avec_effets_fixes,4,1.2089940225334783,1.399901871561003,13.637230787801354,,,0.1896502446273182,,,evalue,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
TACH,3,variation,panel_avec_effets_fixes,4,1.26776472581434,1.5033028636971324,15.668042918745195,,,0.0416334930025348,,,evalue,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
TACH,4,variation,elasticnet,4,0.8666018960998395,1.2479846753866812,30.55989282630192,,,0.3108505871227804,,,evalue,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
TACH,5,variation,panel_avec_effets_fixes,4,0.4944141526164313,0.6616966827784461,25.28084763242276,,,-0.0411417149796076,,,evalue,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
